mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
14,dmsdw_tp_,,gr_roll,growing,s(sm_mean_ct) + s(sm_sd_ct) + var_era,model_dat_daily,-3963.667128505619,-3962.915049158216,-3867.0177641742584,0.314017915983942,0.037542014590948795,0.7693752796366378,0.38262561999293576,0.5617815285020433,0.036322476242389816,0.05904138484202959,0.504,0.0516939519253186,-0.3675833015137404,0.487,0.19925512104283055,0.38699360341151384,0.46107784431137727,0.7954813427659869,0.7189661051626542,0.6752136752136753
15,dmsdv_tp_,,gr_roll,growing,"s(sm_mean_ct, by=var_era) + s(sm_sd_ct, by=var_era)",model_dat_daily,-4015.3712771902037,-4012.8860400392878,-3839.056300982076,0.35568465286434237,0.036107204507727024,0.7399706933076355,0.3680021347152649,0.5845213620341477,0.04420332959514367,-0.39357258259442274,0.513,0.06380282996316185,-1.0833114680426106,0.506,0.3054003724394786,0.4072494669509595,0.5029940119760479,0.8162713275072826,0.6843210802700675,0.6141880341880341
16,dmsk_tp_,,gr_roll,growing,s(sm_mean_ct) + s(sm_skew_ct),model_dat_daily,-3920.736670404907,-3920.2253124511008,-3841.3323751307457,0.2837724289780912,0.03842359655583898,0.7874421675793944,0.3916106424954848,0.5477635311758781,0.03759501015817546,-0.008045276978326577,0.515,0.05472837501066124,-0.532849183030246,0.567,0.14990689013035383,0.28251599147121537,0.2934131736526946,0.7887016229712859,0.7477187478687853,0.7625641025641026
17,dmskw_tp_,,gr_roll,growing,s(sm_mean_ct) + s(sm_skew_ct) + var_era,model_dat_daily,-3957.8136034621525,-3957.122065389665,-3865.1990636122496,0.3097572369782079,0.0376728739144675,0.7720570730811893,0.38395932918086173,0.5786169392727937,0.03834078308600333,-0.04843517663784347,0.494,0.05623718001678447,-0.6185323728826626,0.517,0.20391061452513967,0.3773987206823028,0.46107784431137727,0.806394784297406,0.7220668803564527,0.6837606837606838
18,dmskv_tp_,,gr_roll,growing,"s(sm_mean_ct, by=var_era) + s(sm_skew_ct, by=var_era)",model_dat_daily,-4007.793101743689,-4005.2989952603084,-3831.1648419758762,0.3511590209897163,0.03623269351361024,0.7425424290028212,0.36928110999673364,0.6025857626683374,0.03989440885466635,-0.13512501524671316,0.552,0.04665562557074321,-0.11399272330762922,0.545,0.2951582867783985,0.43390191897654584,0.5389221556886228,0.8230753225135248,0.7374798245015799,0.7206837606837607
19,dm_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr')",model_dat_daily,-3890.2183687424877,-3890.1136903357274,-3855.4326919833493,0.25701563018093143,0.039299948500290276,0.8054018729832936,0.40054236099091506,0.532952428746708,0.032275691859543425,0.2570309079556521,0.532,0.03474515096873912,0.38217891444568386,0.59,0.12942271880819367,0.22388059701492538,0.25149700598802394,0.7670377306145096,0.74515447043579075,0.7786324786324786
20,dmw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr') + var_era",model_dat_daily,-3929.915844418343,-3929.7191000565253,-3881.421968604824,0.28579716310454406,0.038481539983029854,0.7886296435575437,0.3922011979037385,0.566595261021441,0.03275986168352459,0.2345730574989603,0.52,0.03636971379900426,0.32305390528002065,0.499,0.16666666666666666,0.337953091684435,0.4431137724550898,0.7904529060896102,0.7155470685853281,0.6912820512820513
21,dmv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr', by=var_era)",model_dat_daily,-3932.396663959327,-3931.3782490154967,-3819.7069651000793,0.29582645120659856,0.0379784578945768,0.7783196235252924,0.38707382000196494,0.5809374282045522,0.039407591556639865,-0.10759098593940775,0.544,0.054294536995479474,-0.5086433684327489,0.398,0.26256983240223464,0.3582089552238806,0.4550898203592814,0.8090650575669303,0.7465775534792789,0.7247008547008547
22,dmsd_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr') + s(sm_sd_ct, bs='cr')",model_dat_daily,-3920.7646097785096,-3920.528209053658,-3867.405064581241,0.2803350785201756,0.03861068755961864,0.791276356951458,0.393517461085171,0.5212024870936013,0.033775409467465274,0.18638139374065665,0.509,0.03991658817988496,0.1845803986248139,0.517,0.14059590316573556,0.2878464818763326,0.31137724550898205,0.7699576917741712,0.7357021073450181,0.7494017094017094
23,dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr') + s(sm_sd_ct, bs='cr') + var_era",model_dat_daily,-3951.6630298914897,-3951.2737114415013,-3882.6156182488094,0.30277108513383133,0.037947770440344135,0.7776907236396884,0.38676105558775553,0.5514573927417298,0.03474051646620602,0.13922000094890385,0.505,0.04501576632151553,-0.03705935993290321,0.494,0.18063314711359404,0.3805970149253731,0.47904191616766467,0.7930815647107782,0.711714292209416,0.6827350427350427
24,dmsdv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr', by=var_era) + s(sm_sd_ct, bs='cr', by=var_era)",model_dat_daily,-3992.54430917232,-3990.026261729619,-3815.073269076749,0.3419812456562863,0.03648507645578277,0.7477146926339883,0.3718533795133431,0.5800809198325987,0.04004007252832195,-0.14342935380300448,0.516,0.058757649648312246,-0.7668641170780277,0.422,0.3333333333333333,0.44243070362473347,0.5029940119760479,0.8198155083922875,0.6869399167973812,0.6473504273504274
25,dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr') + s(sm_skew_ct, bs='cr')",model_dat_daily,-3906.7456387289394,-3906.3867976577585,-3840.5334136678694,0.2726118772921593,0.038770210976895786,0.794545584112373,0.39514331273708997,0.5432793832911119,0.034446488357416025,0.15372885147801374,0.515,0.04212605496366415,0.09181170507444802,0.511,0.17318435754189945,0.25692963752665243,0.2874251497005988,0.7827784713552504,0.7374980108663529,0.7425641025641025
26,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr') + s(sm_skew_ct, bs='cr') + var_era",model_dat_daily,-3946.0004647220317,-3945.4672563755144,-3864.8800094521284,0.3006449675174896,0.03796213820956358,0.7779851725812651,0.38690749089937654,0.5764492604043306,0.034746176787907604,0.13893948188187355,0.499,0.04101576735101044,0.13905382239494124,0.492,0.20949720670391062,0.36673773987206826,0.5029940119760479,0.8023061450964073,0.7140035008752188,0.6584615384615384
27,dmskv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cr', by=var_era) + s(sm_skew_ct, bs='cr', by=var_era)",model_dat_daily,-3986.9263530397166,-3984.262892636979,-3804.423161457534,0.3391313330383885,0.03654621915410733,0.7489677335571713,0.37247654167204397,0.6059557159139115,0.04199339847277429,-0.2577133537835703,0.535,0.05458795293279498,-0.524993304672976,0.432,0.31564245810055863,0.43070362473347545,0.5389221556886228,0.8266472464974338,0.7299620359635364,0.6882051282051281
