plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmsd_tt_,,gr_roll,growing,sm_mean_ct + sm_sd_ct,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2455.3734175314885,-2455.309824526719,-2437.5652217137554,0.2182548091260521,0.034677575205827045,0.6835116753987506,0.35168415557408494,0.08486862377725812,0.03339982689138687,0.5459847147241196,0.473,0.9542586750788643,0.9505882352941176,0.7900038180210593,0.7042237337990624,FALSE
dmsdw_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2485.8923059815543,-2485.713392243535,-2454.7279633004937,0.25848620156220536,0.03369309247097268,0.664107047494191,0.3416999805782984,-0.8719565919435444,0.04776946527788279,0.5481809217347594,0.474,0.9479495268138801,0.8447058823529412,0.7950476247890041,0.7052348561448663,FALSE
dmsdv_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) * var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2522.9789869944134,-2522.39189022022,-2465.1023505867292,0.30711083116809534,0.03241369282635653,0.638889465543732,0.3287248927589227,-1.1355922508510572,0.051022491399238826,0.5975278897748032,0.197,0.9526813880126183,0.8752941176470588,0.830163371111647,0.5,FALSE
dmsk_tt_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2445.6911359794317,-2445.627542974662,-2427.8829401616827,0.20622457432637686,0.034943382160023156,0.6887508582284858,0.3543798485017863,0.08730192881224896,0.03335539279924987,0.5296513197637294,0.45,0.9526813880126183,0.9552941176470588,0.7838246523591351,0.6955142935931612,FALSE
dmskw_tt_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2475.2433469731636,-2475.0644332351444,-2444.079004292103,0.24592620427375456,0.03397724642585087,0.6697078585260229,0.34458174042111417,-0.8802613217299777,0.047875310008288055,0.538755831541178,0.451,0.9416403785488959,0.8588235294117647,0.7910085604051121,0.6939746300211417,FALSE
dmskv_tt_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2495.447424422133,-2494.8603276479394,-2437.5707880144487,0.2763591292651283,0.033125174108466875,0.6529131035940757,0.335940411503258,-0.9306056383615227,0.048512011000253756,0.5782005146653886,0.458,0.9495268138801262,0.8729411764705882,0.8164787798408488,0.5,FALSE
dmsb_tt_,,gr_roll,growing,sm_mean_ct + sm_sd_ct + sm_skew_ct,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2453.4643402071556,-2453.368798805882,-2431.2040954349804,0.21712622463122888,0.034675088719326175,0.6834626655546661,0.3516589387617728,0.08373373753735225,0.03342053061786361,0.5450425682861074,0.471,0.9511041009463722,0.9505882352941176,0.7901645768025078,0.7039709532126115,FALSE
dmsbw_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2483.89622735969,-2483.66582735969,-2448.279835724195,0.25730815759163905,0.033692988272903436,0.6641049937001625,0.3416989238489921,-0.8734292961640036,0.04778825216171993,0.5480578795195191,0.474,0.9479495268138801,0.8447058823529412,0.7960121774776947,0.7064068388638661,FALSE
dmsbv_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) * var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2522.744153927668,-2521.750647434162,-2447.059321702267,0.31111538146649875,0.03221579959723116,0.6349888948784906,0.3267179498638182,-3.745776062347817,0.07605996368106083,0.606108495051386,0.136,0.9558359621451105,0.7858823529411765,0.8342526726147416,0.5,FALSE
dm_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs')",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2498.79263737314,-2498.5665137681835,-2463.525511119367,0.2751453745716643,0.03330360116047869,0.6564299865518138,0.33774993730619834,0.12763005347386092,0.03261015332531106,0.5354319729999357,0.458,0.9479495268138801,0.9576470588235294,0.8158558395627361,0.6872184943469068,FALSE
