mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,in_spear,out_RMSE,out_R2,out_spear,inf_RMSE,inf_R2,inf_spear,in_cover,out_cover,inf_cover,in_AUC,out_AUC,inf_AUC
11,dmsbw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) + var_era,model_dat_daily,-4183.553381295116,-4183.416238437973,-4143.832738530305,0.2228782210747583,0.033315567527004666,0.6949530387975279,0.3522102408449867,0.524462712607801,0.03827664073202708,-0.07608330855700429,0.313,0.048194602406915386,-0.3398608444676514,0.246,0.9490084985835694,0.9284963196635121,0.8705882352941177,0.7627997002997003,0.6594266720957406,0.6459054209919262
12,dmsbv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) * var_era,model_dat_daily,-4254.719594628705,-4254.131698375104,-4170.313228753568,0.2794675127538667,0.03194212048382456,0.6663033333554154,0.3376902386425871,0.545734069691731,0.04116678061522684,-0.24472116214251383,0.34,0.0533926246512118,-0.6444680213973046,0.111,0.9612842304060434,0.9263932702418507,0.8294117647058824,0.7825620807763665,0.6769243706405127,0.6041357719558411
13,dm_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs')",model_dat_daily,-4228.901098881003,-4228.756892715009,-4188.1153723969055,0.2559845558107865,0.03260323725914885,0.680094036804763,0.3446795267126428,0.4999545508975072,0.03562383873746287,0.06790603600738421,0.419,0.04663749735967235,-0.2546811316967501,0.292,0.9537299338999056,0.9463722397476341,0.888235294117647,0.7549325674325674,0.7149935382218603,0.6683143845773604
14,dmw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + var_era",model_dat_daily,-4257.6852577006375,-4257.424083707596,-4202.064022079027,0.27792636584483077,0.0320725277520087,0.6690235910017062,0.3390688966917962,0.537310790561657,0.041305499214363876,-0.25312390276509156,0.362,0.0619737384485185,-1.215533299768889,0.176,0.9527856468366384,0.92534174553102,0.8470588235294118,0.7797006564863708,0.7046967390149772,0.6351952545724172
15,dmv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era)",model_dat_daily,-4295.5920414306875,-4294.848873533277,-4200.492296104802,0.3095826143131333,0.03126796657635263,0.6522406791252243,0.3305631227702607,0.5638935936038887,0.552840488753451,-223.48015201772364,0.418,1.2354606205150793,-879.4824547792891,0.116,0.9565627950897073,0.9221871713985279,0.8588235294117647,0.7957381903810475,0.7065578196367241,0.6119624320316361
16,dmsd_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs')",model_dat_daily,-4238.492065691791,-4238.269955993551,-4187.360391179782,0.26453978969808434,0.032392134209556625,0.675690488652848,0.3424477575590866,0.5130080838020574,0.035998272746563656,0.048209009402702785,0.418,0.0475524041717559,-0.3043911698133228,0.313,0.9537299338999056,0.9453207150368034,0.888235294117647,0.7625749250749251,0.7092221966504975,0.6622178283077937
17,dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily,-4272.034169614477,-4271.691540003121,-4208.0341519518715,0.28892329984393084,0.03180525603744845,0.6634483808520452,0.3362433156813567,0.5507909198439876,0.04141305562932639,-0.25965848036459493,0.364,0.06194811209632954,-1.2137014174424414,0.191,0.9508970727101038,0.9263932702418507,0.8529411764705882,0.7887594548308834,0.7030414616011047,0.6401384083044983
18,dmsdv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_sd_ct, bs='cs', by=var_era)",model_dat_daily,-4344.267366084616,-4342.957294197011,-4217.603645746922,0.3455463869022348,0.03037468060164636,0.6336069937727494,0.3211193554371748,0.5813876774846816,0.5516720850209085,-222.53229710969433,0.404,1.232462406995402,-875.2141339038985,0.189,0.95561850802644,0.8916929547844374,0.788235294117647,0.8113154702440417,0.6913195305031336,0.6487065414401054
19,dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,-4232.006063490289,-4231.736119463889,-4175.4245405718,0.26093910696941414,0.0324578220368927,0.6770607176060907,0.3431422054464855,0.5023844947087256,0.036600833154623494,0.01607905361925044,0.399,0.04787878969170346,-0.32235852412718446,0.271,0.9518413597733711,0.9442691903259727,0.9,0.7548290994719566,0.7063011188613108,0.6643598615916955
20,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,-4261.33352282133,-4260.9058828606785,-4189.608008472852,0.28317562724988043,0.03191941747344339,0.6658297551688376,0.3374502237382101,0.539512136185997,0.04199563003881061,-0.2953480198935625,0.351,0.06265537548885694,-1.2645377567920342,0.163,0.9518413597733711,0.9200841219768665,0.8470588235294118,0.7797006564863708,0.6979162978437135,0.6330532212885154
